Agency,Sub/contractor,Cluster,Site,Machine,Daily_Capacity,start_date,planned_end_date,expected_end_date,days_to_sept30,Quantity to be remediated in MT,Cumulative Quantity remediated till date in MT,Active_site,net_to_be_remediated_mt,days_required,Quantity remediated today
Tharuni,Tharuni,Chilakaluripet,Repalle,X1,,,,,,7203,0,No,7203,,
Tharuni,Tharuni,Chilakaluripet,Gurazala,X1,,,,,,1675,1484,No,191,,
Tharuni,Tharuni,Chilakaluripet,Sattenapalle,X1,,,,,,0,0,No,0,,
Tharuni,Tharuni,Chilakaluripet,Mangalagiri Tadepalli,X1,,,,,,0,0,No,0,,
Tharuni,Coastline,Eluru,Eluru,M1,960,,,,,53348,14362,Yes,38986,,
Tharuni,Coastline,Eluru,Gudivada,X1,480,,,,,42953,2705,No,40248,,
Tharuni,Coastline,Eluru,Machilipatnam,M2,480,,,,,41861,11504,Yes,30357,,
Tharuni,V.Raju,Eluru,Bhimavaram,X1,500,,,,,32358,6809,Yes,25549,,
Tharuni,V.Raju,Eluru,Tadepalligudem,X1,,,,,,30258,0,No,30258,,
Tharuni,Coastline,Eluru,Vijayawada,X1,,,,,,,0,No,0,,
Tharuni,Coastline,Eluru,Jaggaiahpet,X1,,,,,,12987,0,No,12987,,
Tharuni,Coastline,Eluru,Kondapalli,X1,,,,,,5000,0,No,5000,,
Tharuni,Coastline,Eluru,Nandigama,X1,,,,,,1398,0,No,1398,,
Tharuni,V.Raju,Eluru,Nuzvid,,400,M4,,,,18458,3332,Yes,15126,,
Tharuni,Coastline,Eluru,Kovvur,X1,,,,,,915,0,No,915,,
Tharuni,Tharuni,Kadapa,Proddatur,X1,1400,,,,,70730,19419,No,51311,,
Tharuni,Tharuni,Kadapa,Rayachoti,X1,1200,,,,,94604,13916,No,80688,,
Tharuni,Tharuni,Kadapa,Badvel,X1,500,,,,,11926,2649,No,9277,,
Tharuni,Tharuni,Kadapa,Rajampet,X1,500,,,,,11800,0,No,11800,,
Tharuni,Tharuni,Kadapa,Mydukur,X1,,,,,,11244,0,No,11244,,
Tharuni,Tharuni,Kadapa,Pulivendula,X1,,,,,,10000,0,No,10000,,
Tharuni,Tharuni,Kadapa,Jammalamadugu,X1,,,,,,4916,0,No,4916,,
Tharuni,Tharuni,Kadapa,Yerraguntla,X1,,,,,,2021,0,No,2021,,
Tharuni,Tharuni,Kadapa,Kamalapuram,X1,,,,,,1763,0,No,1763,,
Tharuni,Srinivas,Hindupur,Hindupur,X1,,,,,,49020,465,No,48555,,
Tharuni,Srinivas,Hindupur,Dharmavaram,M5,700,,,,,23000,10923,Yes,12077,,133
Tharuni,Srinivas,Hindupur,Madakasira,M6,X1,,,,,664,664,Yes,0,,
Tharuni,Srinivas,Hindupur,Puttaparthy,X1,,,,,,10299,0,No,10299,,
Tharuni,Srinivas,Hindupur,Kadiri,X1,,,,,,20000,0,No,20000,,
Tharuni,Srinivas,Hindupur,Penukonda,M7,700,,,,,13578,13578,Yes,0,,549
Tharuni,Srinivas Shetty,Addanki,Ongole,M8,900,,,,,61929,28469,Yes,33460,,
Tharuni,Srinivas Shetty,Addanki,Addanki,M9,700,,,,,58754,13824,Yes,44930,,789
Tharuni,Srinivas Shetty,Addanki,Markapuram,M10,700,,,,,33877,10313,Yes,23564,,728
Tharuni,Srinivas Shetty,Addanki,Chirala,X1,,,,,,28392,579,No,27813,,
Tharuni,Srinivas Shetty,Addanki,Kandukuru,X1,,,,,,26160,0,No,26160,,
Tharuni,Srinivas Shetty,Addanki,Chimakurthy,X1,,,,,,14459,0,No,14459,,
Tharuni,Srinivas Shetty,Addanki,Kanigiri,X1,,,,,,11662,0,No,11662,,
Tharuni,Srinivas Shetty,Addanki,Darsi,X1,,,,,,1602,0,No,1602,,
Tharuni,Srinivas Shetty,Addanki,Podili,X1,,,,,,1075,0,No,1075,,
