Agency,Sub-contractor,Cluster,Site,Machine,Daily_Capacity,start_date,planned_end_date,expected_end_date,days_to_sept30,Quantity to be remediated in MT,Cumulative Quantity remediated till date in MT,Active_site,net_to_be_remediated_mt,days_required,Quantity remediated today
Tharuni,Tharuni,Chilakaluripet,Macherla,M16,,,,,,30894,1748,Yes,,,337
Tharuni,Tharuni,Chilakaluripet,Piduguralla,,,,,,,10793,0,No,,,0
Tharuni,Tharuni,Chilakaluripet,Vinukonda,,,,,,,11195,0,No,,,0
Tharuni,Tharuni,Chilakaluripet,Dachepalli,,,,,,,6194,0,No,,,0
Tharuni,Tharuni,Chilakaluripet,Ponnuru,,,,,,,8376,0,No,,,0
Tharuni,Tharuni,Chilakaluripet,Repalle,,,,,,,7203,0,No,,,0
Tharuni,Tharuni,Chilakaluripet,Gurazala,,,,,,,1675,0,No,,,0
Tharuni,Tharuni,Chilakaluripet,Sattenapalle,,,,,,,0,0,No,,,0
Tharuni,Tharuni,Chilakaluripet,Mangalagiri Tadepalli,,,,,,,0,0,No,,,0
Tharuni,Tharuni,Eluru,Eluru,,960,,,,,53348,5271,Yes,,,490
Tharuni,Tharuni,Eluru,Gudivada,,480,,,,,42953,0,No,,,0
Tharuni,Tharuni,Eluru,Machilipatnam,,480,,,,,41861,1863,Yes,,,328
Tharuni,Tharuni,Eluru,Bhimavaram,,500,,,,,32358,407,No,,,145
Tharuni,Tharuni,Eluru,Tadepalligudem,,,,,,,30258,0,No,,,0
Tharuni,Tharuni,Eluru,Vijayawada,,,,,,,,0,No,,,0
Tharuni,Tharuni,Eluru,Jaggaiahpet,,,,,,,12987,0,No,,,0
Tharuni,Tharuni,Eluru,Kondapalli,,,,,,,5000,0,No,,,0
Tharuni,Tharuni,Eluru,Nandigama,,,,,,,1398,0,No,,,0
Tharuni,Tharuni,Eluru,Nuzvid,,400,,,,,915,0,No,,,0
Tharuni,Tharuni,Eluru,Kovvur,,,,,,,915,0,No,,,0
Tharuni,Tharuni,Kadapa,Proddatur,,1400,,,,,70730,0,No,,,0
Tharuni,Tharuni,Kadapa,Rayachoti,,1200,,,,,94604,0,No,,,0
Tharuni,Tharuni,Kadapa,Badvel,,500,,,,,11926,0,No,,,0
Tharuni,Tharuni,Kadapa,Rajampet,,500,,,,,11800,0,No,,,0
Tharuni,Tharuni,Kadapa,Mydukur,,,,,,,11244,0,No,,,0
Tharuni,Tharuni,Kadapa,Pulivendula,,,,,,,10000,0,No,,,0
Tharuni,Tharuni,Kadapa,Jammalamadugu,,,,,,,4916,0,No,,,0
Tharuni,Tharuni,Kadapa,Yerraguntla,,,,,,,2021,0,No,,,0
